PROJECT_ID,TYPE,CAMPAIGN_COUNTRY,CLUSTER,DEMOGRAPHY,SURVEY_DATE,RELEASE_DATE,IMPRESSIONS,YES_ANSWERS,NO_ANSWERS,NA_ANSWERS
project_2,wi,AT,SBC,FEMALE_U25,2020-10-10,2020-10-23,4855,13,3,1
project_1,vc,ES,Cast,FEMALE_25to34,2020-08-18,2020-03-18,7224,4,8,10
project_4,wi,DE,GermanPostWarHistory,MALE_U25,2020-07-15,2020-09-25,2216,13,10,8
project_5,vc,FR,PrimeVideoFans,MALE_U25,2020-04-29,2020-04-15,5957,7,32,14
project_4,vc,DE,Core,MALE_O55,2020-10-13,2020-09-25,1462,14,10,9
project_3,wi,IT,DarkTV,MALE_U25,2020-09-08,2020-09-25,7104,0,0,0
project_6,wi,FR,Drama,MALE_O45,2019-11-29,2020-02-21,2419,2,7,10
project_1,vc,DE,BestOfMystery,FEMALE_O55,2020-07-07,2020-03-18,8547,0,5,3
project_6,wi,ES,TarantinoStyle,MALE_25to34,2019-11-30,2020-02-21,5607,3,12,5
project_6,wi,DE,SpiesSecretOperations,FEMALE_25to34,2019-11-29,2020-02-21,1644,5,4,10
project_6,wi,ES,SpiesSecretOperations,MALE_U25,2019-11-30,2020-02-21,31357,2,26,6
project_5,vc,FR,BarreDancePoleFitnessEnthusiasts,MALE_U25,2020-04-29,2020-04-15,11411,10,90,34
project_2,vc,NO,Mixed_Segment_B,MALE_35to44,2020-11-06,2020-10-23,4465,7,3,0
project_1,vc,AT,WomensFavouriteTV,MALE_18to24,2020-07-07,2020-03-18,24162,2,6,11
project_3,wi,IT,DarkTV,MALE_25to34,2020-09-08,2020-09-25,7191,0,0,0
project_1,vc,GB,MysteryThriller,FEMALE_25to34,2020-06-24,2020-03-18,6685,11,5,32
project_2,vc,ES,Comedy,MALE_O55,2020-11-10,2020-10-23,8017,0,0,0
project_6,vc,DE,Action,MALE_35to44,2020-03-09,2020-02-21,2097,4,12,7
project_1,vc,AT,Books,FEMALE_35to44,2020-07-07,2020-03-18,20979,7,3,12
project_14,wi,AT,Mixed_Segment_E,MALE_O55,2020-09-14,2020-12-04,9630,0,0,0
project_7,vc,FR,PrimeVideoFans,MALE_25to34,2020-07-12,2020-06-05,86840,14,38,20
project_5,wi,FR,ViewedPrimeVideoCampaigns,FEMALE_U25,2020-04-10,2020-04-15,6720,32,18,41
project_6,wi,ES,Drama,MALE_O25,2019-11-30,2020-02-21,9939,3,7,2
project_1,vc,AT,PrimeVideoFans,FEMALE_18to24,2020-07-07,2020-03-18,14833,4,3,13
project_7,vc,FR,GuestStars,MALE_35to44,2020-07-12,2020-06-05,84158,10,84,18
project_5,vc,FR,InARelationship,MALE_25to34,2020-04-29,2020-04-15,14320,16,148,25
project_1,vc,DE,Books,FEMALE_45to54,2020-07-07,2020-03-18,4348,0,3,1
project_6,vc,GB,Drama,FEMALE_O45,2020-03-09,2020-02-21,2419,7,6,12
project_6,wi,GB,CastCrew,MALE_25to34,2019-11-29,2020-02-21,4128,44,17,37
project_7,wi,FR,CyprienFans,FEMALE_O45,2020-05-15,2020-06-05,667,9,2,0
project_13,wi,FR,MusicalsOnScreen,MALE_45to54,2020-09-21,2020-09-25,3536,0,0,0
project_1,vc,ES,WomensFavouriteTV,FEMALE_35to44,2020-08-18,2020-03-18,12467,19,3,22
project_3,wi,DE,DarkTV,MALE_45to54,2020-09-08,2020-09-25,2112,3,3,27
project_1,vc,ES,PopularDrama,MALE_25to34,2020-08-18,2020-03-18,12749,3,13,5
project_2,vc,PT,Mixed_Segment_A,FEMALE_25to34,2020-11-07,2020-10-23,13833,3,0,0
project_5,wi,FR,FrenchInfluencers,MALE_U25,2020-04-10,2020-04-15,7945,10,103,24
project_7,wi,FR,CyprienFans,FEMALE_25to34,2020-05-15,2020-06-05,23136,25,8,10
project_2,vc,NO,Core,FEMALE_25to34,2020-11-06,2020-10-23,3455,12,6,3
project_7,wi,FR,Comedy,MALE_35to44,2020-05-15,2020-06-05,16407,20,22,4
project_2,vc,SE,Demo,FEMALE_35to44,2020-11-06,2020-10-23,1872,1,5,0
project_5,wi,FR,FrenchInfluencers,MALE_35to44,2020-04-10,2020-04-15,6481,5,63,6
project_5,wi,FR,FemaleCenteredInterests,MALE_U25,2020-04-10,2020-04-15,7221,10,81,30
project_1,vc,DE,FemaleLedDramaMovies,FEMALE_25to34,2020-07-07,2020-03-18,13318,16,12,44
project_2,vc,ES,OffensiveComedy,MALE_45to54,2020-11-10,2020-10-23,8412,0,0,0
project_6,vc,DE,BrutalWitty,FEMALE_U25,2020-03-09,2020-02-21,1718,2,3,5
project_3,wi,GB,DarkTV,MALE_45to54,2020-08-14,2020-09-25,8330,19,5,24
project_2,wi,AT,USDocumentary,FEMALE_O55,2020-10-10,2020-10-23,2861,3,8,1
project_2,wi,ES,OffensiveComedy,MALE_35to44,2020-10-09,2020-10-23,6756,42,16,3
project_4,wi,DE,GermanProductions,MALE_35to44,2020-07-15,2020-09-25,9646,55,54,39
project_6,wi,ES,CastCrew,FEMALE_O25,2019-11-30,2020-02-21,10141,21,2,2
project_3,wi,GB,Dystopian,MALE_U25,2020-08-14,2020-09-25,10627,15,49,128
