project_id,type,campaign_country,cluster,impressions,yes_answers,no_answers,gender,age_range,diff_survey_release,watching_rate_%,cluster_k_8
project_2,wi,AT,SBC,4855,13,3,FEMALE,18to24,13,76.47058823529412,7
project_1,vc,ES,Cast,7224,4,8,FEMALE,25to34,-153,18.181818181818183,1
project_4,wi,DE,GermanPostWarHistory,2216,13,10,MALE,18to24,72,41.935483870967744,0
project_5,vc,FR,PrimeVideoFans,5957,7,32,MALE,18to24,-14,13.20754716981132,5
project_4,vc,DE,Core,1462,14,10,MALE,O55,-18,42.42424242424242,7
project_3,wi,IT,DarkTV,7104,0,0,MALE,18to24,17,0.0,4
project_6,wi,FR,Drama,2419,2,7,MALE,45to54,84,10.526315789473683,0
project_1,vc,DE,BestOfMystery,8547,0,5,FEMALE,O55,-111,0.0,1
project_6,wi,ES,TarantinoStyle,5607,3,12,MALE,25to34,83,15.0,0
project_6,wi,DE,SpiesSecretOperations,1644,5,4,FEMALE,25to34,84,26.315789473684212,0
project_6,wi,ES,SpiesSecretOperations,31357,2,26,MALE,18to24,83,5.882352941176472,0
project_5,vc,FR,BarreDancePoleFitnessEnthusiasts,11411,10,90,MALE,18to24,-14,7.462686567164179,6
project_2,vc,NO,Mixed_Segment_B,4465,7,3,MALE,35to44,-14,70.0,7
project_1,vc,AT,WomensFavouriteTV,24162,2,6,MALE,18to24,-111,10.526315789473683,1
project_3,wi,IT,DarkTV,7191,0,0,MALE,25to34,17,0.0,4
project_1,vc,GB,MysteryThriller,6685,11,5,FEMALE,25to34,-98,22.91666666666667,1
project_2,vc,ES,Comedy,8017,0,0,MALE,O55,-18,0.0,5
project_6,vc,DE,Action,2097,4,12,MALE,35to44,-17,17.391304347826086,5
project_1,vc,AT,Books,20979,7,3,FEMALE,35to44,-111,31.818181818181817,1
project_14,wi,AT,Mixed_Segment_E,9630,0,0,MALE,O55,81,0.0,0
project_7,vc,FR,PrimeVideoFans,86840,14,38,MALE,25to34,-37,19.444444444444443,3
project_5,wi,FR,ViewedPrimeVideoCampaigns,6720,32,18,FEMALE,18to24,5,35.164835164835175,7
project_6,wi,ES,Drama,9939,3,7,MALE,25to34,83,25.0,0
project_1,vc,AT,PrimeVideoFans,14833,4,3,FEMALE,18to24,-111,20.0,1
project_7,vc,FR,GuestStars,84158,10,84,MALE,35to44,-37,8.928571428571429,3
project_5,vc,FR,InARelationship,14320,16,148,MALE,25to34,-14,8.465608465608465,6
project_1,vc,DE,Books,4348,0,3,FEMALE,45to54,-111,0.0,1
project_6,vc,GB,Drama,2419,7,6,FEMALE,45to54,-17,28.0,5
project_6,wi,GB,CastCrew,4128,44,17,MALE,25to34,84,44.897959183673464,2
project_7,wi,FR,CyprienFans,667,9,2,FEMALE,45to54,21,81.81818181818181,7
project_13,wi,FR,MusicalsOnScreen,3536,0,0,MALE,45to54,4,0.0,4
project_1,vc,ES,WomensFavouriteTV,12467,19,3,FEMALE,35to44,-153,43.18181818181818,1
