project_id,type,campaign_country,cluster,survey_date,release_date,impressions,yes_answers,no_answers,gender,age_range,diff_survey_release,watching_rate_%
project_2,wi,AT,SBC,2020-10-10,2020-10-23,4855,13,3,FEMALE,18to24,13,76.47058823529412
project_1,vc,ES,Cast,2020-08-18,2020-03-18,7224,4,8,FEMALE,25to34,-153,18.181818181818183
project_4,wi,DE,GermanPostWarHistory,2020-07-15,2020-09-25,2216,13,10,MALE,18to24,72,41.935483870967744
project_5,vc,FR,PrimeVideoFans,2020-04-29,2020-04-15,5957,7,32,MALE,18to24,-14,13.20754716981132
project_4,vc,DE,Core,2020-10-13,2020-09-25,1462,14,10,MALE,O55,-18,42.42424242424242
project_3,wi,IT,DarkTV,2020-09-08,2020-09-25,7104,0,0,MALE,18to24,17,0.0
project_6,wi,FR,Drama,2019-11-29,2020-02-21,2419,2,7,MALE,45to54,84,10.526315789473685
project_1,vc,DE,BestOfMystery,2020-07-07,2020-03-18,8547,0,5,FEMALE,O55,-111,0.0
project_6,wi,ES,TarantinoStyle,2019-11-30,2020-02-21,5607,3,12,MALE,25to34,83,15.0
project_6,wi,DE,SpiesSecretOperations,2019-11-29,2020-02-21,1644,5,4,FEMALE,25to34,84,26.31578947368421
project_6,wi,ES,SpiesSecretOperations,2019-11-30,2020-02-21,31357,2,26,MALE,18to24,83,5.882352941176471
project_5,vc,FR,BarreDancePoleFitnessEnthusiasts,2020-04-29,2020-04-15,11411,10,90,MALE,18to24,-14,7.462686567164179
project_2,vc,NO,Mixed_Segment_B,2020-11-06,2020-10-23,4465,7,3,MALE,35to44,-14,70.0
project_1,vc,AT,WomensFavouriteTV,2020-07-07,2020-03-18,24162,2,6,MALE,18to24,-111,10.526315789473685
project_3,wi,IT,DarkTV,2020-09-08,2020-09-25,7191,0,0,MALE,25to34,17,0.0
project_1,vc,GB,MysteryThriller,2020-06-24,2020-03-18,6685,11,5,FEMALE,25to34,-98,22.916666666666668
project_2,vc,ES,Comedy,2020-11-10,2020-10-23,8017,0,0,MALE,O55,-18,0.0
project_6,vc,DE,Action,2020-03-09,2020-02-21,2097,4,12,MALE,35to44,-17,17.391304347826086
project_1,vc,AT,Books,2020-07-07,2020-03-18,20979,7,3,FEMALE,35to44,-111,31.818181818181817
project_14,wi,AT,Mixed_Segment_E,2020-09-14,2020-12-04,9630,0,0,MALE,O55,81,0.0
project_7,vc,FR,PrimeVideoFans,2020-07-12,2020-06-05,86840,14,38,MALE,25to34,-37,19.444444444444443
project_5,wi,FR,ViewedPrimeVideoCampaigns,2020-04-10,2020-04-15,6720,32,18,FEMALE,18to24,5,35.16483516483517
project_6,wi,ES,Drama,2019-11-30,2020-02-21,9939,3,7,MALE,25to34,83,25.0
project_1,vc,AT,PrimeVideoFans,2020-07-07,2020-03-18,14833,4,3,FEMALE,18to24,-111,20.0
project_7,vc,FR,GuestStars,2020-07-12,2020-06-05,84158,10,84,MALE,35to44,-37,8.928571428571429
project_5,vc,FR,InARelationship,2020-04-29,2020-04-15,14320,16,148,MALE,25to34,-14,8.465608465608465
project_1,vc,DE,Books,2020-07-07,2020-03-18,4348,0,3,FEMALE,45to54,-111,0.0
project_6,vc,GB,Drama,2020-03-09,2020-02-21,2419,7,6,FEMALE,45to54,-17,28.0
project_6,wi,GB,CastCrew,2019-11-29,2020-02-21,4128,44,17,MALE,25to34,84,44.89795918367347
project_7,wi,FR,CyprienFans,2020-05-15,2020-06-05,667,9,2,FEMALE,45to54,21,81.81818181818181
project_13,wi,FR,MusicalsOnScreen,2020-09-21,2020-09-25,3536,0,0,MALE,45to54,4,0.0
project_1,vc,ES,WomensFavouriteTV,2020-08-18,2020-03-18,12467,19,3,FEMALE,35to44,-153,43.18181818181818
project_3,wi,DE,DarkTV,2020-09-08,2020-09-25,2112,3,3,MALE,45to54,17,9.090909090909092
project_1,vc,ES,PopularDrama,2020-08-18,2020-03-18,12749,3,13,MALE,25to34,-153,14.285714285714286
project_2,vc,PT,Mixed_Segment_A,2020-11-07,2020-10-23,13833,3,0,FEMALE,25to34,-15,100.0
project_5,wi,FR,FrenchInfluencers,2020-04-10,2020-04-15,7945,10,103,MALE,18to24,5,7.299270072992701
project_7,wi,FR,CyprienFans,2020-05-15,2020-06-05,23136,25,8,FEMALE,25to34,21,58.13953488372093
project_2,vc,NO,Core,2020-11-06,2020-10-23,3455,12,6,FEMALE,25to34,-14,57.142857142857146
project_7,wi,FR,Comedy,2020-05-15,2020-06-05,16407,20,22,MALE,35to44,21,43.47826086956522
project_2,vc,SE,Demo,2020-11-06,2020-10-23,1872,1,5,FEMALE,35to44,-14,16.666666666666668
project_5,wi,FR,FrenchInfluencers,2020-04-10,2020-04-15,6481,5,63,MALE,35to44,5,6.756756756756757
project_5,wi,FR,FemaleCenteredInterests,2020-04-10,2020-04-15,7221,10,81,MALE,18to24,5,8.264462809917354
project_1,vc,DE,FemaleLedDramaMovies,2020-07-07,2020-03-18,13318,16,12,FEMALE,25to34,-111,22.22222222222222
project_2,vc,ES,OffensiveComedy,2020-11-10,2020-10-23,8412,0,0,MALE,45to54,-18,0.0
project_6,vc,DE,BrutalWitty,2020-03-09,2020-02-21,1718,2,3,FEMALE,18to24,-17,20.0
project_3,wi,GB,DarkTV,2020-08-14,2020-09-25,8330,19,5,MALE,45to54,42,39.583333333333336
project_2,wi,AT,USDocumentary,2020-10-10,2020-10-23,2861,3,8,FEMALE,O55,13,25.0
project_2,wi,ES,OffensiveComedy,2020-10-09,2020-10-23,6756,42,16,MALE,35to44,14,68.85245901639344
project_4,wi,DE,GermanProductions,2020-07-15,2020-09-25,9646,55,54,MALE,35to44,72,37.16216216216216
project_6,wi,ES,CastCrew,2019-11-30,2020-02-21,10141,21,2,FEMALE,25to34,83,84.0
project_3,wi,GB,Dystopian,2020-08-14,2020-09-25,10627,15,49,MALE,18to24,42,7.8125
project_6,wi,DE,Moviegoer,2019-11-29,2020-02-21,26,0,0,MALE,25to34,84,0.0
project_2,vc,NO,Mixed_Segment_E,2020-11-06,2020-10-23,4292,5,2,MALE,45to54,-14,55.55555555555556
project_6,wi,DE,BrutalWitty,2019-11-29,2020-02-21,4083,3,7,FEMALE,25to34,84,16.666666666666668
project_7,vc,FR,Comedy,2020-07-12,2020-06-05,101805,50,293,MALE,25to34,-37,12.40694789081886
project_4,vc,DE,Extended,2020-10-13,2020-09-25,1472,7,11,FEMALE,O55,-18,20.58823529411765
project_7,wi,FR,Comedy,2020-05-15,2020-06-05,14879,47,66,MALE,18to24,21,36.434108527131784
project_1,vc,DE,DarkFemaleLedTV,2020-07-07,2020-03-18,13819,0,5,MALE,18to24,-111,0.0
project_12,wi,FR,RealityTVfans,2020-08-21,2020-09-15,3988,0,0,FEMALE,35to44,25,0.0
project_6,wi,ES,TarantinoStyle,2019-11-30,2020-02-21,4755,1,2,FEMALE,45to54,83,20.0
project_6,vc,ES,Control,2020-03-09,2020-02-21,6629,44,35,MALE,35to44,-17,34.645669291338585
project_2,vc,IE,Demo,2020-11-06,2020-10-23,4706,0,0,FEMALE,18to24,-14,0.0
project_2,wi,AT,USDocumentary,2020-10-10,2020-10-23,2000,10,1,FEMALE,25to34,13,62.5
project_2,wi,ES,USDocumentary,2020-10-09,2020-10-23,8364,11,14,FEMALE,O55,14,32.35294117647059
project_1,wi,GB,PopularDramaThrillerTV,2020-05-10,2020-03-18,1458,4,0,FEMALE,45to54,-53,44.44444444444444
project_12,wi,FR,Football,2020-08-21,2020-09-15,2511,0,0,MALE,35to44,25,0.0
project_3,wi,DE,SciFi,2020-09-08,2020-09-25,1590,2,6,FEMALE,45to54,17,5.882352941176471
project_2,vc,PT,Mixed_Segment_F,2020-11-07,2020-10-23,7192,2,3,MALE,O55,-15,33.333333333333336
project_6,wi,DE,VengeanceSelfJustice,2019-11-29,2020-02-21,2398,10,10,MALE,35to44,84,35.714285714285715
project_6,vc,ES,Action,2020-03-09,2020-02-21,4372,17,4,MALE,35to44,-17,50.0
project_2,wi,AT,USCulture,2020-10-10,2020-10-23,1391,6,2,FEMALE,25to34,13,66.66666666666667
project_6,wi,DE,BrutalWitty,2019-11-29,2020-02-21,1557,6,7,FEMALE,45to54,84,26.08695652173913
project_9,wi,DE,SportEntertainment,2020-06-02,2020-06-05,3092,29,53,MALE,25to34,3,32.95454545454545
project_5,wi,FR,FrenchCinemaTVSeries,2020-04-10,2020-04-15,13938,8,96,MALE,25to34,5,6.4
project_1,wi,NL,WomensFavouriteTV,2020-05-10,2020-03-18,6558,0,14,FEMALE,18to24,-53,0.0
project_7,vc,FR,GuestStars,2020-07-12,2020-06-05,63075,12,14,MALE,45to54,-37,31.57894736842105
project_1,wi,GB,DarkFemaleLedTV,2020-05-10,2020-03-18,2170,1,4,MALE,18to24,-53,12.5
project_8,wi,GB,TheCornettoTrilogy,2020-07-30,2020-10-30,122,1,0,MALE,O55,92,100.0
project_6,vc,ES,CastCrew,2020-03-09,2020-02-21,5137,63,10,FEMALE,45to54,-17,51.63934426229508
project_2,vc,IE,Mixed_Segment_C,2020-11-06,2020-10-23,6601,0,0,FEMALE,35to44,-14,0.0
project_6,vc,DE,SpiesSecretOperations,2020-03-09,2020-02-21,1493,2,2,FEMALE,18to24,-17,28.571428571428573
project_4,vc,DE,Core,2020-10-13,2020-09-25,1448,4,5,FEMALE,O55,-18,22.22222222222222
project_7,wi,FR,GuestStars,2020-05-15,2020-06-05,10732,3,8,FEMALE,25to34,21,16.666666666666668
project_6,wi,FR,VengeanceSelfJustice,2019-11-29,2020-02-21,3442,11,8,MALE,45to54,84,35.483870967741936
project_2,vc,IE,Mixed_Segment_B,2020-11-06,2020-10-23,7540,0,0,MALE,35to44,-14,0.0
project_1,vc,DE,FemaleLedDramaMovies,2020-07-07,2020-03-18,7351,3,2,MALE,45to54,-111,60.0
